Period,DefaultRate,USDJPYSPOT,NikkeiStockAverage,CallRate,PrimeRateST,PrimeRateLT,LendingLocalBank,All_RE_Price,Tokyo_RE_Price,Hiroshima_RE_Price,Yamaguchi_RE_Price,Fukuoka_RE_Price,All_RE_Rate,Tokyo_RE_Rate,Hiroshima_RE_Rate,Yamaguchi_RE_Rate,Fukuoka_RE_Rate
10-Sep,0.025,83.32,9369.35,0.113,1.118,1.672,1938293,,,,,,,,,,
10-Oct,0.025,80.68,9202.45,0.093,1.151,1.664,1943336,,,,,,,,,,
10-Nov,0.025,84.03,9937.04,0.09,1.179,1.656,1937857,,,,,,,,,,
10-Dec,0.024,81.51,10228.92,0.079,1.187,1.646,1952077,,,,,,,,,,
11-Jan,0.024,82.04,10237.92,0.087,1.178,1.639,1954782,,,,,,,,,,
11-Feb,0.024,81.68,10624.09,0.091,1.152,1.634,1953860,,,,,,,,,,
11-Mar,0.023,82.84,9755.1,0.062,1.135,1.614,1965189,"112,000","367,800","81,200","35,400","82,500",-3.7,-3.3,-3.8,-5.5,-3.5
11-Apr,0.023,81.6,9849.74,0.064,1.146,1.607,1963907,,,,,,,,,,
11-May,0.023,81.6,9693.73,0.067,1.099,1.598,1956345,,,,,,,,,,
11-Jun,0.023,80.42,9816.09,0.067,1.133,1.592,1956787,,,,,,,,,,
11-Jul,0.022,77.59,9833.03,0.078,1.124,1.585,1964128,,,,,,,,,,
11-Aug,0.022,76.58,8955.2,0.075,1.119,1.578,1966797,,,,,,,,,,
11-Sep,0.022,76.7,8700.29,0.075,1.069,1.563,1972646,,,,,,,,,,
11-Oct,0.022,78.81,8988.39,0.081,1.09,1.556,1978518,,,,,,,,,,
11-Nov,0.022,78.01,8434.61,0.081,1.104,1.548,1974285,,,,,,,,,,
11-Dec,0.022,77.57,8455.35,0.075,1.102,1.538,1991003,,,,,,,,,,
12-Jan,0.022,76.3,8802.51,0.075,1.105,1.529,1995262,,,,,,,,,,
12-Feb,0.022,80.49,9723.24,0.081,1.074,1.522,1993713,,,,,,,,,,
12-Mar,0.022,82.17,10083.56,0.076,1.071,1.503,2006498,"109,000","360,700","77,600","33,600","80,600",-3.4,-2.1,-3.7,-5.3,-3.1
12-Apr,0.022,80.74,9520.89,0.08,1.044,1.495,2004447,,,,,,,,,,
12-May,0.022,78.81,8542.73,0.095,1.044,1.486,1996818,,,,,,,,,,
12-Jun,0.021,79.61,9006.78,0.076,1.03,1.478,2001802,,,,,,,,,,
12-Jul,0.021,78.28,8695.06,0.09,1.024,1.47,2009738,,,,,,,,,,
12-Aug,0.021,78.46,8839.91,0.093,1.042,1.462,2016242,,,,,,,,,,
12-Sep,0.021,77.58,8870.16,0.078,1.034,1.45,2026351,,,,,,,,,,
12-Oct,0.02,79.73,8928.29,0.089,1.013,1.442,2027702,,,,,,,,,,
12-Nov,0.02,82.63,9446.01,0.091,1.022,1.434,2024852,,,,,,,,,,
12-Dec,0.02,86.32,10395.18,0.076,1.034,1.424,2040083,,,,,,,,,,
13-Jan,0.019,90.92,11138.66,0.082,1.013,1.415,2044575,,,,,,,,,,
13-Feb,0.019,92.36,11559.36,0.083,0.982,1.405,2043799,,,,,,,,,,
13-Mar,0.019,94.04,12397.91,0.058,0.965,1.381,2057019,"108,000","360,600","76,600","32,300","79,600",-2.7,-1,-3.5,-4.6,-2.3
13-Apr,0.019,97.83,13860.86,0.071,0.93,1.373,2055690,,,,,,,,,,
13-May,0.019,100.63,13774.54,0.073,0.931,1.362,2048806,,,,,,,,,,
13-Jun,0.018,98.83,13677.32,0.07,0.899,1.35,2055908,,,,,,,,,,
13-Jul,0.018,97.85,13668.32,0.073,0.89,1.341,2063910,,,,,,,,,,
13-Aug,0.017,98.06,13388.86,0.072,0.894,1.333,2069616,,,,,,,,,,
